date,open,high,low,close,volume
2017-05-30,45520,45660,44480,44640,12433600
2017-05-31,44580,45020,44400,44700,18669100
2017-06-01,44860,44900,44400,44680,9753500
2017-06-02,45060,45960,45000,45960,12488750
2017-06-05,46040,46360,45720,45940,7599400
2017-06-07,46500,46500,45240,45300,13729400
2017-06-08,45000,45580,45000,45160,13978750
2017-06-09,45680,46440,45600,46100,11732850
2017-06-12,45420,45600,45140,45380,10954300
2017-06-13,45140,45620,45140,45400,8624900
2017-06-14,45800,46060,45240,45360,10166700
2017-06-15,45680,45920,45180,45680,9657000
2017-06-16,45500,45940,45460,45580,17403450
2017-06-19,45580,46560,45560,46560,11303900
2017-06-20,47240,48140,47220,48140,15045000
2017-06-21,47740,48120,47480,47480,9973650
2017-06-22,47960,48080,47720,47960,11455800
2017-06-23,47600,47780,47420,47620,9515100
2017-06-26,47520,48360,47520,48280,8552800
2017-06-27,48220,48400,47900,48300,9616750
2017-06-28,47600,48000,47560,47700,9572500
2017-06-29,48040,48320,47940,47940,8306550
2017-06-30,47500,47620,47100,47540,11877550
2017-07-03,47500,47780,47120,47220,6805550
2017-07-04,47160,47400,46900,47000,7961000
2017-07-05,46820,47680,46780,47580,10640250
2017-07-06,48000,48100,47720,48060,10923050
2017-07-07,47740,48120,47620,47860,8131900
2017-07-10,48500,48900,48320,48660,10792750
2017-07-11,48640,49000,48280,49000,9717800
2017-07-12,49000,50000,48840,49880,9486150
2017-07-13,50080,50940,50040,50560,16034150
2017-07-14,51000,51080,50420,50480,8239000
2017-07-17,50900,51020,50520,50640,8976100
2017-07-18,50420,50880,50360,50840,7084450
2017-07-19,50620,50820,50000,50740,11157500
2017-07-20,50760,51320,50560,51200,8367600
2017-07-21,50860,51160,50520,51080,8449050
2017-07-24,50700,51000,50620,50860,7099750
2017-07-25,50500,50760,49940,50000,10810600
2017-07-26,49600,50020,49300,49840,11224800
2017-07-27,50000,50640,49560,49800,11449500
2017-07-28,49800,49800,47380,47760,26168300
