Date,Close,Volume,Diff,Volatility
20140813,0.9318,1.0667,-0.0086,0.0212
20140814,0.9296,0.8643,-0.0102,0.022
20140818,0.9216,0.8687,-0.0227,0.0235
20140819,0.9247,0.8275,-0.0079,0.0158
20140820,0.9298,0.7796,-0.0024,0.0158
20140821,0.9109,1.4144,-0.0159,0.0239
20140822,0.9204,0.7025,0.0016,0.0096
20140825,0.907,0.9665,-0.0024,0.0081
20140826,0.9034,0.8968,-0.0105,0.0113
20140827,0.9101,1.0173,0.0057,0.0123
20140828,0.9197,0.864,-0.0127,0.0175
20140829,0.9149,1.2244,-0.0032,0.0081
20140901,0.91,0.4815,-0.0081,0.0105
20140902,0.8876,1.3458,-0.0221,0.0254
20140903,0.8852,1.7817,-0.0092,0.0167
20140904,0.9019,1.0184,0,0.0116
20140905,0.8964,0.9059,-0.0115,0.0173
20140911,0.8908,1.94,-0.0067,0.0125
20140912,0.8987,0.9047,0.0008,0.0067
20140915,0.8991,0.5978,-0.0058,0.0099
20140916,0.9048,0.5931,-0.0017,0.0116
20140917,0.9208,0.6309,0.0157,0.0157
20140918,0.9099,0.7923,-0.0163,0.0211
20140919,0.9111,1.1139,-0.0106,0.0139
20140922,0.8958,1.3175,-0.0133,0.0199
20140923,0.8769,1.5937,-0.0144,0.0204
20140924,0.8703,1.2822,-0.0017,0.0174
20140925,0.8765,1.5713,-0.0052,0.0164
20140926,0.8998,1.0023,0.0286,0.0321
20140929,0.9085,0.76,0.0017,0.0251
20140930,0.9013,1.0029,-0.0008,0.0194
20141001,0.8812,0.9689,-0.0153,0.023
20141002,0.8712,1.0353,-0.0206,0.0206
20141006,0.8801,1.7211,0.0052,0.0157
20141007,0.8897,0.8239,0,0.0207
20141008,0.8669,1.1962,-0.0105,0.0236
20141010,0.8497,1.7606,0.0045,0.0136
20141013,0.854,0.9145,0.024,0.0453
20141014,0.8705,1.3254,0,0.0231
20141015,0.871,1.1327,-0.0027,0.0222
20141016,0.8655,1.2172,-0.0009,0.0152
20141017,0.8477,1.308,-0.0154,0.0253
20141020,0.8632,0.7622,-0.0081,0.0143
20141021,0.8475,0.9446,-0.0101,0.0174
20141022,0.8662,0.8915,0.0064,0.0128
20141023,0.8605,0.6788,-0.0171,0.0207
20141024,0.8767,0.6667,0.0082,0.0181
20141027,0.8656,0.668,-0.0054,0.0218
20141028,0.865,0.4997,0.0009,0.0128
20141029,0.8981,1.1003,0.0273,0.0364
20141030,0.9407,1.9427,0.0461,0.0602
20141031,0.9927,3.0034,0.0384,0.0543
20141103,0.9872,1.0479,-0.012,0.0288
20141104,0.9743,1.0183,-0.0016,0.0304
20141105,0.9641,0.7954,-0.0107,0.0255
20141106,0.9674,0.6708,0.005,0.0142
20141107,0.9707,0.4746,-0.0099,0.0189
20141110,1.0214,1.5105,0.0343,0.0383
20141111,0.9927,0.9575,-0.0191,0.0271
20141112,0.9931,0.7185,-0.0008,0.0122
20141113,0.9701,0.9134,-0.0228,0.0269
20141114,0.9662,0.8481,-0.0058,0.0175
20141117,0.9759,0.7829,0.0126,0.0319
20141118,0.9889,0.8697,0,0.0098
20141119,0.9882,1.0106,-0.0162,0.021
20141120,0.9826,0.8104,0.0033,0.0116
20141121,0.994,0.9977,0.0033,0.0074
20141124,0.9923,0.8308,-0.0217,0.0305
20141125,0.9689,1.4286,-0.0278,0.0278
20141126,0.9788,0.9828,0.0092,0.0244
20141127,1.0307,3.4574,-0.0071,0.0291
20141128,1.0497,0.7662,-0.0062,0.017
20141201,1.0563,0.9961,0.0008,0.0085
20141202,1.0563,0.7141,0,0.0224
20141203,1.0587,0.7552,-0.0015,0.0046
20141204,1.0604,0.6897,-0.0015,0.0038
20141205,1.0621,0.4394,-0.0091,0.0107
20141208,1.0756,0.6184,0.0123,0.0146
20141209,1.0995,1.0535,0.0227,0.0288
20141210,1.0735,1.2381,-0.0215,0.0215
20141211,1.0638,1.5739,-0.0091,0.019
20141212,1.0487,1.1029,-0.013,0.023
20141215,1.0387,1.0945,-0.0055,0.0156
20141216,1.0443,0.9807,0.0071,0.0165
20141217,1.0343,0.9904,-0.0102,0.0235
20141218,1.0349,0.8898,0,0.0213
20141219,1.0859,1.3726,0.0263,0.0317
